Who?	누구?
It looks like it's going to rain.	비가 올 것 같네요.
Let's hear the rest of the story.	이야기를 마저 들어보자.
Let's hear the rest of the story.	이야기를 마저 들어 봅시다.
My friend works at a supermarket.	내 친구는 슈퍼마켓에서 일해.
Some animals are active at night.	어떤 동물들은 야행성이야.
To tell the truth, I felt lonely.	실은 나 외로웠어.
Tom couldn't hold back his anger.	톰은 화를 참을 수 없었다.
Tom seems like a really nice guy.	톰은 정말 좋은 남자처럼 보인다.
We have many varieties of coffee.	우리는 다양한 종류의 커피를 구비하고 있어.
Where in the world have you been?	세상에 너 어디에 있었니?
Can you help me for just a minute?	1분만 도와주시겠어요?
Every country has its own history.	어떤 나라든 역사가 있다.
He was at the bottom of the class.	그는 반에서 꼴찌였습니다.
He was at the bottom of the class.	걔는 반에서 꼴찌였어.
I hope you tore up my last letter.	내 마지막 편지는 찢어 버렸길 바란다.
I like eating fruit for breakfast.	나는 아침으로 과일을 먹는 것을 좋아합니다.
I want to learn Chinese next year.	나는 내년에 중국어를 배우고 싶다.
I would like to visit South Korea.	저는 한국을 방문하고 싶어요.
I'd like to volunteer my services.	봉사활동을 하고 싶습니다.
I'm sorry, but I don't understand.	죄송하지만, 무슨 말인지 모르겠어요.
I'm sorry, but I don't understand.	죄송하지만, 이해하지 못하겠어요.
I'm sorry, but I don't understand.	미안하지만, 모르겠어.
Last year there was a lot of snow.	작년에 눈이 엄청 내렸어.
Learning languages is interesting.	언어를 배우는 것은 재미있다.
My ideas are different from yours.	제 생각은 당신과 다릅니다.
My ideas are different from yours.	내 생각은 너와 달라.
Nothing could sway his conviction.	그 어떤 것도 그의 신념을 꺾을 수 없었다.
She drinks a little wine at times.	걔는 가끔 와인을 좀 마셔.
Snakes are cold-blooded creatures.	뱀들은 냉혈동물이다.
This restroom's toilet is clogged.	이 화장실의 변기는 막혔어요.
Tom and Mary are in the same boat.	톰과 마리는 같은 배를 탔다.
Tom doesn't know why I'm here yet.	톰은 제가 왜 여기 있는지 아직 모릅니다.
Tom has something to do right now.	톰은 당장 할일이 있어.
Tom is not an idle boy any longer.	톰은 이제는 게으른 소년이 아니다.
Tom's explanation was too complex.	톰은 너무 복잡하게 설명해.
We can do this without Tom's help.	우리는 톰의 도움없이 이것을 할 수 있다.
"Are you Swedish?" "No, I'm Swiss."	"스웨덴 사람이세요?" "아니요, 스위스 사람이예요."
A wise leader knows when to listen.	지혜로운 리더는 언제 들어야 할지를 안다.
He hid himself behind a large rock.	그는 큰 바위 뒤에 숨었다.
He is the dumbest kid in the class.	그는 학급에서 가장 둔한 아이이다.
I asked Tom not to do that anymore.	톰에게 더는 하지 말라고 부탁했다.
I had dinner with a total stranger.	생판 모르는 사람과 저녁을 먹었다.
I'll call you when I get to Boston.	보스턴에 도착하면 전화할게요.
Let's meet in front of the theater.	극장 앞에서 만납시다.
Nothing seems to grow in this soil.	이 흙에서는 아무것도 자라지 않는 것으로 보인다.
The ice is thick enough to walk on.	얼음이 걸어도 될만큼 두꺼워.
The price of oil is down this week.	기름 가격은 이번 주에 떨어졌다.
Three people were slightly injured.	세 사람이 약간 다쳤다.
Tom began to sing "Happy Birthday."	Tom이 "Happy Birthday" 노래를 부르기 시작했다.
Tom didn't know Mary had a brother.	Tom은 Mary가 남동생이 있는 줄 몰랐어.
Tom didn't know Mary had a brother.	톰은 메리한테 남동생이 있는지 몰랐어.
Tom said he was going to kiss Mary.	톰은 메리에게 키스할 것이라고 말했다.
Why are you so sure of his success?	왜 그의 성공을 그렇게 확신하고 있는 거지?
Why are you telling this to me now?	왜 이걸 지금 말해?
Call us toll-free at 1-800-446-2581.	수신자부담전화 1-800-446-2581을 이용해주세요.
He came to London by way of Siberia.	그 사람은 시베리아를 거쳐서 런던에 왔어.
I have many French-speaking friends.	저에게는 프랑스어를 말하는 많은 친구들이 있습니다.
Is there bus service to the airport?	공항까지 가는 버스가 있나요?
It took me several hours to do that.	그걸 하려고 몇 시간이 걸렸어요.
Japan and South Korea are neighbors.	일본과 남한은 이웃 국가다.
My favorite singer is Kylie Minogue.	내가 좋아하는 가수는 카일리 미노그야.
My favorite singer is Kylie Minogue.	내가 좋아하는 가수는 카일리 미노그입니다.
Please tell me when he arrives here.	그가 여기에 오면 저한테 말해주세요.
There isn't going to be a next time.	다음은 없어.
Tom has been rather busy these days.	톰은 요즘 들어 꽤 바빴다.
Tom says he's almost ready to leave.	톰은 떠날 준비가 거의 다 됐대.
We all thought that Tom had escaped.	우리는 다 톰이 탈출한 줄 알았다.
Why do I always get up at this time?	나는 왜 항상 이 시간에 일어날까?
You're the one who gave us all this.	우리에게 이 모든 걸 준 사람이 바로 당신이다.
I should've checked Tom's references.	톰의 말을 확인했어야 했다.
I think what Tom is doing is amazing.	나는 탐이 하고 있는 일이놀랍다고 생각한다.
Seoul is the capitаl of South Korea.	서울은 남한의 도시다.
Some children do not like vegetables.	일부 애들은 야채를 안좋아해.
The world doesn't revolve around you.	세계는 너를 중심으로 돌아가지 않는다.
Tom doesn't want to get into trouble.	톰은 말썽에 휘말리고 싶어하지 않았지.
Tom filled the wheelbarrow with sand.	톰은 외바퀴 손수레를 모래로 채웠다.
Tom hasn't finished his homework yet.	톰은 아직 숙제를 안 했다.
When does your winter vacation begin?	겨울 방학은 언제 시작하나요?
Everyone except Tom went to the party.	톰만 빼고 다들 파티에 갔어.
How many times do I need to repeat it?	몇 번을 반복해야 해?
How many times do I need to repeat it?	몇 번을 반복해야 하나요?
I know a good lawyer who can help you.	당신을 도와줄 수 있는 괜찮은 변호사를 알고 있습니다.
I often borrow books from the library.	나는 도서관에서 종종 책을 빌린다.
I should have listened more carefully.	내가 좀 더 귀기울여 들었어야 했는데.
I wish there was more I could've done.	내가 할 수 있는게 더 있었으면 좋았을 걸.
I'm not quite sure who we should hire.	누구를 채용해야 할지 확신이 안 서.
My father is to visit Korea next week.	나의 아버지는 다음 주에 한국으로 가기로 되어 있다.
There were a few children in the room.	몇 명의 아이들이 방에 있었다.
Tom and John pretended to be brothers.	톰이랑 존은 형제인 척 했다.
Tom works in research and development.	톰은 연구 개발을 하고 있어요.
What do you think this sentence means?	이 문장이 무슨 뜻인 것 같아?
What languages do they speak in Korea?	한국에서는 무슨 언어로 말합니까?
Buy eggs at the store on your way home.	돌아올 때 슈퍼마켓에서 계란 사 와.
He attributes his success to hard work.	그는 그의 성공을 그가 열심히 일한것에 대해 공을 돌렸다
How did you spend your winter vacation?	겨울방학 어떻게 보냈어?
How did you spend your winter vacation?	겨울 방학은 어떻게 지냈나요?
I have to introduce Tom to the manager.	나는 톰을 매니저에게 소개시켜줘야 합니다.
I watched TV after I washed the dishes.	설거지 끝내고 티비 봤어.
It's dangerous to go outside right now.	지금 당장 밖으로 나가는 것은 위험하다.
That was the only way we could do that.	그게 우리가 할 수 있는 유일한 방법이었습니다.
The sooner you do it, the better it is.	더 빨리할수록 좋다.
This restaurant is busier on Saturdays.	이 음식점 토요일에는 더 붐벼.
Tom and his brother look quite similar.	톰이랑 톰네 형은 진짜 닮았어.
Tom still hasn't responded to my email.	톰이 아직도 내 이메일에 답장을 안했어.
Tom volunteered to pay for the damages.	탐은 손해배상금을 지불할 것을 자청했다.
What is the difference between A and B?	A와 B의 차이가 뭐예요?
He is going to leave tomorrow afternoon.	그는 내일 오후에 떠날 예정이다.
His brave actions are worthy of a medal.	그의 용감한 행동은 메달을 받을 만한 가치가 있다.
She lives with him in a small apartment.	그녀는 작은 아파트에서 그와 함께 살고 있어요.
This is a bit too loose around my waist.	이건 허리가 좀 너무 크네.
Tom changed his mind at the last minute.	톰은 마지막 순간에 마음을 바꿨다.
Tom has a guitar that was made in Korea.	톰은 한국에서 만들어진 기타를 가지고 있다.
Tom seems to be worried about something.	톰은 뭔가를 걱정하는 것 처럼 보여.
Yesterday, I simply couldn't go to work.	나는 어제 단지 출근할 수 없었어.
You can't expect much sympathy from Tom.	너는 톰에게서 많은 동정심을 바랄 수는 없다.
Don't believe everything people tell you.	사람들이 말하는 전부를 믿지는 마.
For the first time in ages, I slept late.	오랜만에 늦게까지 잤는데.
He deposited the prize money in the bank.	그는 상금을 은행에 입급했다.
I have been ill in bed since last Friday.	난 지난 금요일부터 아파서 누워있어.
I like your cat, but she doesn't like me.	나는 네 고양이가 좋은데, 네 고양이는 나를 싫어하네.
In 1950, North Korea invaded South Korea.	1950년에, 북한은 남한을 침공했다.
It took me three hours to clean my house.	집을 청소하는데 3시간이 걸렸습니다.
Remember that we're all in the same boat.	우리 모두가 같은 한 배를 탔다는 걸 기억해라.
She is always at the bottom of the class.	그녀는 항상 반에서 꼴찌입니다.
She is always at the bottom of the class.	걔는 항상 반에서 꼴찌야.
The price of gold varies from day to day.	금값은 매일 변한다.
We graduate from high school at eighteen.	우리는 18살에 고등학교를 졸업합니다.
We graduate from high school at eighteen.	우리는 18살에 고등학교를 졸업해.
Where did you spend your summer vacation?	여름방학을 어디서 보냈어?
Where did you spend your summer vacation?	여름방학을 어디서 보내셨어요?
Have you met any Canadians here in Boston?	여기 보스턴에서 캐나다 사람을 만난 적이 있나요?
How do you calculate the volume of a cube?	정육면체의 부피를 어떻게 계산합니까?
I should have told you everything earlier.	너한테 모든 걸 좀 더 빨리 얘기했어야 했는데.
Now we have one less thing to worry about.	이제 우리는 걱정 거리가 하나 줄었다.
She is more beautiful than any other girl.	그녀는 누구보다도 아름다워요.
There is no bus service after nine-thirty.	9시 반 이후엔 버스가 다니지 않아요.
Tom isn't likely to pass the driving test.	톰은 운전면허 시험에 떨어질 듯 하다.
Tom should be here within fifteen minutes.	톰은 십오분 안에 여기에 있어야 해.
We don't know whether Tom can come or not.	우리는 톰이 올수 있을지 없을지 모릅니다.
Have you ever seen Tom not wearing glasses?	톰이 안경 벗은 거 본 적 있어?
I have some strawberries. Do you want some?	딸기가 있는데 너 먹고 싶니?
There is nothing you have to be ashamed of.	부끄러워 할 거 없어요.
Tom liked to listen to Mary play the piano.	톰은 메리가 피아노 치는 것을 듣는 것을 좋아했다.
Tom told me where I could buy pomegranates.	톰이 어디서 석류를 살 수 있는지 말해 주었다.
He often attributes his success to his wife.	그는 종종 그의 성공을 그의 아내의 공으로 돌리곤 한다
I didn't know that you used to teach French.	나는 네가 프랑스어를 가르쳤는지 몰랐어
I have to take the entrance exams next year.	나 내년에 입학시험을 봐야 돼.
It's not as easy to do that as people think.	사람들이 생각하는 것 만큼 쉽지는 않아요.
People who ignore history tend to repeat it.	역사를 무시하는 사람들은 역사를 되풀이하게 된다.
Shut up. If you don't, you'll be thrown out.	닥쳐. 안그러면 쫓아낼거야.
Tom and Mary live in a very small apartment.	톰과 메리는 매우 작은 아파트에 살고 있어요.
Tom told his friends that he never ate meat.	톰은 친구들에게 고기를 먹은 적이 한 번도 없다고 했다.
Tom went to Korea as a Christian missionary.	톰은 선교사로서 한국에 갔다.
Tom's birthday was the day before yesterday.	톰의 생일은 그저께였다.
What in the world do you think you're doing?	세상에 네가 뭘 하고 있다고 생각하는 거니?
Certain religions are against organ donation.	어떤 종교는 장기 기증을 금지하기도 해.
Don't add sentences from copyrighted sources.	저작권이 있는 출처의 문장을 추가하지 마십시오.
Don't sign the document until you've read it.	서류를 읽기 전에는 사인하지 마세요
I haven't been getting a lot of sleep lately.	나는 요즘 잠을 많이 못잤어요.
I'm looking for a hat to match a brown dress.	갈색 드레스와 어울리는 모자를 찾고 있어요.
I've read your book. It was very interesting.	당신 책을 읽어봤었어요. 꽤 흥미롭더라구요.
This year, Valentine's Day falls on a Sunday.	올해는 발렌타인 데이가 일요일이다.
Upon hearing the news, she broke down crying.	그녀는 그 소식을 듣자마자 울음을 터뜨렸다.
Upon hearing the news, she broke down crying.	그녀는 그 소식을 듣자마자, 울음을 터뜨렸습니다.
Tom lives in a small apartment on Park Street.	톰은 파크 스트리트의 작은 아파트에서 살고 있다.
You haven't told Tom you're married, have you?	너 결혼한거 톰한테 말 안했구나, 그치?
You look tired, so you should go to bed early.	피곤해 보이니까 일찍 자는 것이 좋겠다.
"How many boys do you have?" "I only have one."	"형제가 몇 명이나 있어?" "한 명 있어."
It requires more courage to suffer than to die.	죽는 일보다 고통 받는 일이 더 많은 용기를 필요로 한다.
The Mona Lisa was painted by Leonardo da Vinci.	모나리자는 레오나르도 다빈치가 그렸어.
Tom currently lives alone in a small apartment.	탐은 현재 작은 아파트에서 혼자 살고 있다.
You need good equipment to climb that mountain.	저 산에 오르려면 좋은 장비가 있어야 돼.
Are there any students from Korea in your class?	너의 반에 한국에서 온 학생이 있니?
Tom says he doesn't think Mary ought to do that.	톰은 마리가 그것을 해야만 한다고 생각하지 않는다고 말했다.
Tom told Mary he wouldn't let her go by herself.	톰은 메리에게 그는 그녀를 혼자 가게 하지는 않겠다고 말했다.
We're moving to Boston at the end of this month.	우리는 이달 말에 보스턴으로 이사를 합니다.
You had bacon and eggs for breakfast, didn't you?	아침에 베이건이랑 달걀 먹었잖아, 그치?
It's difficult for me to express myself in French.	프랑스어로 자기소개를 하는 것은 내게 어려운 일이다.
This English book is too difficult for me to read.	이 영어 책은 내가 읽기엔 너무 어렵다.
Tom said he didn't want to go to the park with us.	톰은 우리랑 같이 공원에 가고 싶지 않대.
He left the office without saying a word to anyone.	그는 사람들에게 말 한 마디 없이 사무실을 떠났다.
I used to go swimming in the sea when I was a child.	내가 어릴 때는 바다에 수영하러 가곤 했었지.
If it is worth doing at all, it is worth doing well.	할 가치가 있는 일이면, 제대로 하십시오.
Is there anything you want us to send you from home?	우리가 집에서 너에게 보내줬으면 하는 거 없니?
There are more than six billion people in the world.	지구상의 인구는 60억 이상이야.
Could you please tell me again where you put the key?	키를 어디다 뒀는지 다시 얘기해 주시겠어요?
He breathed deeply before entering his boss's office.	그는 상사의 사무실로 들어가기 전에 심호흡을 했다.
I am not quite sure if we can meet your requirements.	우리가 당신의 요구를 충족시켜 드릴 수 있을지 모르겠네요.
I don't have much money, but I can get along somehow.	나는 돈이 별로 없지만, 그럭저럭 지낼 수 있다
Weather permitting, we'll start on our trip tomorrow.	날씨가 허락한다면, 우리는 내일 여행을 시작할 것이다.
Her dress attracted everyone's attention at the party.	그 여자가 파티에 입고 온 드레스가 사람들의 눈길을 끌었지.
Please come here between two and three this afternoon.	오늘 오후 두시에서 세시 사이에 여기로 와 주세요.
What's the difference between religion and philosophy?	종교와 철학의 차이점은 무엇입니까?
Everyone wants to go to heaven, but nobody wants to die.	모두 천국에 가고 싶어 하나, 누구도 죽고 싶어 하지 않는다.
It's not fair to attribute your failure to your parents.	당신의 실패를 당신의 부모님 탓으로 돌리는것은 옳지 않습니다
The company president was indicted for paying kickbacks.	그 회사 회장은 리베이트를 지불한 혐의로 기소되었다.
If it were not for water, human life would be impossible.	물이 없었다면 인류의 생존은 가능하지 않았을 겁니다.
This bike isn't safe to ride; the wheel wobbles too much.	이 바이크는 별로 안전하지 않아. 바퀴가 너무 흔들려.
Tom doesn't want to spend the rest of his life in prison.	톰은 남은 인생을 감옥에서 보내고 싶어하지 않아.
If God did not exist, it would be necessary to invent him.	만약 신이 존재하지 않았다면, 만들어 낼 필요가 있겠지.
Tom says he needs to talk to us about something important.	톰이 우리한테 뭔가 중요한걸 얘기하고 싶다는데.
I can smell Mary's perfume. She must have been here earlier.	나는 메리의 향수 냄새를 맡을 수 있다. 그녀는 좀 전에 여기에 있었음에 틀림없다.
Is there a place where I can charge my cellphone around here?	이 근처에 휴대폰 충전할 수 있는 곳이 있나요?
I'm going through my closet to find clothes to give to charity.	옷장을 뒤져서 기부할 옷들을 찾아봐야겠어.
Tom gave Mary some advice on how to pass multiple-choice tests.	탐은 메리에게 선다형 시험에 통과하는 방법에 대해 조언했다.
How can anyone trust anything Tom says? He's a pathological liar.	어떻게 누군가가 톰이 말하는 것을 믿을 수 있지? 그는 병적인 거짓말쟁이야.
After driving for eight hours, Tom just couldn't drive any longer.	8시간 동안 운전을 한 후에 톰은 더이상 운전을 할 수 없었다.
I thought you might be lonely, so I came over with a bottle of wine.	니가 좀 외로울 것 같아서 내가 와인 한 병을 들고 왔지.
I looked for the key under the welcome mat and in the nearby flower pot.	나는 열쇠를 찾기 위해 현관 매트 아래와 근처 화분 안을 뒤졌다.
Tom occasionally prods me to work out with him, but I'm really not interested.	톰은 때때로 같이 운동하자고 졸라댔지만 나는 정말 운동에 관심이 없다.
I think I can speak French well enough to say pretty much anything I want to say.	나는 내가 말하고 싶은 것은 거의 다 말할 수 있을 정도로 불어를 잘 한다고 생각한다.
It's not always possible to eat well when you're traveling in this part of the world.	당신이 세계를 여행하는 동안, 항상 잘먹는 것이 가능하지는 않습니다.
Make a good translation of the sentence that you are translating. Don't let translations into other languages influence you.	당신이 번역할 문장에 충실하게 번역하십시오. 다른 언어로 번역된 문장의 영향을 받지 마십시오.
